age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y,age_normalized
56,3,1,0,0,0,0,1,6,1,261,1,999,0,1,0,1.690549532429945
57,7,1,3,0,0,0,1,6,1,149,1,999,0,1,0,1.7941579593571737
37,7,1,3,0,1,0,1,6,1,226,1,999,0,1,0,-0.2780105791873932
40,0,1,1,0,0,0,1,6,1,151,1,999,0,1,0,0.0328147015942918
56,7,1,3,0,0,1,1,6,1,307,1,999,0,1,0,1.690549532429945
45,7,1,2,0,0,0,1,6,1,198,1,999,0,1,0,0.5508568362304336
59,0,1,5,0,0,0,1,6,1,139,1,999,0,1,0,2.0013748132116302
41,1,1,6,0,0,0,1,6,1,217,1,999,0,1,0,0.1364231285215202
24,9,0,5,0,1,0,1,6,1,380,1,999,0,1,0,-1.6249201292413618
25,7,0,3,0,1,0,1,6,1,50,1,999,0,1,0,-1.5213117023141334
41,1,1,6,0,0,0,1,6,1,55,1,999,0,1,0,0.1364231285215202
25,7,0,3,0,1,0,1,6,1,222,1,999,0,1,0,-1.5213117023141334
29,1,0,3,0,0,1,1,6,1,137,1,999,0,1,0,-1.10687799460522
57,3,2,0,0,1,0,1,6,1,293,1,999,0,1,0,1.7941579593571737
35,1,1,1,0,1,0,1,6,1,146,1,999,0,1,0,-0.4852274330418498
54,5,1,2,0,1,1,1,6,1,174,1,999,0,1,0,1.4833326785754886
35,1,1,1,0,1,0,1,6,1,312,1,999,0,1,0,-0.4852274330418498
46,1,1,1,0,1,1,1,6,1,440,1,999,0,1,0,0.654465263157662
50,1,1,2,0,1,1,1,6,1,353,1,999,0,1,0,1.0688989708665753
39,4,0,2,0,0,0,1,6,1,195,1,999,0,1,0,-0.0707937253329365
30,10,1,3,0,0,0,1,6,1,38,1,999,0,1,0,-1.0032695676779917
55,1,1,0,0,1,0,1,6,1,262,1,999,0,1,0,1.586941105502717
55,5,0,3,0,1,0,1,6,1,342,1,999,0,1,0,1.586941105502717
41,9,0,3,0,1,0,1,6,1,181,1,999,0,1,0,0.1364231285215202
37,0,1,3,0,1,0,1,6,1,172,1,999,0,1,0,-0.2780105791873932
35,9,1,6,0,0,1,1,6,1,99,1,999,0,1,0,-0.4852274330418498
59,9,1,6,0,1,0,1,6,1,93,1,999,0,1,0,2.0013748132116302
39,6,1,2,0,0,0,1,6,1,233,1,999,0,1,0,-0.0707937253329365
54,9,0,6,0,0,0,1,6,1,255,2,999,0,1,0,1.4833326785754886
55,0,1,6,0,1,0,1,6,1,362,1,999,0,1,0,1.586941105502717
46,0,1,6,0,0,0,1,6,1,348,1,999,0,1,0,0.654465263157662
59,9,1,6,0,1,0,1,6,1,386,1,999,0,1,0,2.0013748132116302
49,1,1,6,0,0,0,1,6,1,73,1,999,0,1,0,0.965290543939347
54,4,1,0,0,1,0,1,6,1,230,1,999,0,1,0,1.4833326785754886
54,1,2,0,0,0,0,1,6,1,208,1,999,0,1,0,1.4833326785754886
55,0,1,0,0,1,0,1,6,1,336,1,999,0,1,0,1.586941105502717
34,7,1,3,0,0,0,1,6,1,365,1,999,0,1,0,-0.5888358599690782
52,9,1,2,0,1,0,1,6,1,1666,1,999,0,1,0,1.276115824721032
41,0,1,6,0,1,0,1,6,1,577,1,999,0,1,0,0.1364231285215202
56,9,1,0,0,1,0,1,6,1,137,1,999,0,1,0,1.690549532429945
58,4,1,6,0,1,0,1,6,1,366,1,999,0,1,0,1.897766386284402
32,2,1,3,0,1,0,1,6,1,314,1,999,0,1,0,-0.7960527138235349
38,0,0,5,0,0,0,1,6,1,160,1,999,0,1,0,-0.1744021522601648
57,0,1,6,0,0,1,1,6,1,212,1,999,0,1,0,1.7941579593571737
44,0,1,6,0,1,0,1,6,1,188,1,999,0,1,0,0.4472484093032052
42,9,0,5,0,0,0,1,6,1,22,1,999,0,1,0,0.2400315554487485
57,0,1,6,0,1,1,1,6,1,616,1,999,0,1,0,1.7941579593571737
40,1,1,2,0,0,1,1,6,1,178,1,999,0,1,0,0.0328147015942918
35,0,1,6,0,1,0,1,6,1,355,1,999,0,1,0,-0.4852274330418498
45,1,1,2,0,1,0,1,6,1,225,2,999,0,1,0,0.5508568362304336
54,0,1,3,0,0,0,1,6,1,160,1,999,0,1,0,1.4833326785754886
39,3,1,0,0,0,1,1,6,1,266,1,999,0,1,0,-0.0707937253329365
60,0,1,3,0,0,0,1,6,1,253,1,999,0,1,0,2.104983240138859
53,0,0,5,0,0,0,1,6,1,179,1,999,0,1,0,1.3797242516482604
55,1,1,0,0,0,0,1,6,1,269,2,999,0,1,0,1.586941105502717
55,9,1,5,0,1,0,1,6,1,135,1,999,0,1,0,1.586941105502717
50,4,1,6,0,0,1,1,6,1,161,1,999,0,1,0,1.0688989708665753
45,7,1,3,0,1,0,1,6,1,787,1,999,0,1,0,0.5508568362304336
55,10,1,5,0,1,1,1,6,1,145,1,999,0,1,0,1.586941105502717
25,9,0,6,0,1,0,1,6,1,174,1,999,0,1,0,-1.5213117023141334
47,2,1,6,0,0,0,1,6,1,449,1,999,0,1,0,0.7580736900848902
51,1,1,2,0,1,0,1,6,1,812,1,999,0,1,0,1.1725073977938036
42,1,1,1,0,1,0,1,6,1,164,1,999,0,1,0,0.2400315554487485
42,1,1,1,0,0,0,1,6,1,366,1,999,0,1,0,0.2400315554487485
48,0,1,3,0,0,0,1,6,1,357,1,999,0,1,0,0.8616821170121186
37,0,1,6,0,0,0,1,6,1,232,1,999,0,1,0,-0.2780105791873932
44,1,0,2,0,1,0,1,6,1,91,1,999,0,1,0,0.4472484093032052
33,0,1,6,0,1,0,1,6,1,273,1,999,0,1,0,-0.6924442868963065
56,0,1,2,0,1,0,1,6,1,158,2,999,0,1,0,1.690549532429945
44,1,0,0,0,1,1,1,6,1,177,1,999,0,1,0,0.4472484093032052
41,4,1,1,0,0,0,1,6,1,200,1,999,0,1,0,0.1364231285215202
44,4,2,6,0,1,0,1,6,1,172,1,999,0,1,0,0.4472484093032052
47,0,1,6,0,1,0,1,6,1,176,1,999,0,1,0,0.7580736900848902
